HolderId,FullName,Address1,Address2,Address3,Address4,Address5,Address6,Postcode,CountryCode,EmailAddress,MobileNumber,ShareBalance,AccessCode
I0000000017,Holder 17 - NZL,44 VEQE STREET,GEQEHJR  NSW 2212,,,,,,NZL,,,5800,
I0000000018,Holder 18 - NZL,63 LOXREIR ROAD,NWUREBVUTYE    N G N 2290,,,,,,NZL,,,290880,
I0000000019,Holder 19 - NZL,PO BOX 638,LOBAHI VOUNL NSW 2486,,,,,,NZL,,,5,
I0000000020,Holder 20 - NZL,GOUW ROXAE LOXWEFR,138 IWUCAFRU STREET,IJXAHECD 2360,,,,,NZL,,,155,
I0000000021,Holder 21 - NZL,KLOC EOMAH GITVOGAZQ,VOBIPG GAUGD,VSOREM         38181,RSUAHUYZ,,,,NZL,,,500,
I0000000022,Holder 22 - NZL,PIBIH KSUYZAD,VWY 3,VICAHEVZI WA 6743,,,,,NZL,,,525,
I0000000023,Holder 23 - NZL,421 KOTLOXR ROAD,POQUHJDUJ        NSW 2229,,,,,,NZL,,,540,
I0000000024,Holder 24 - NZL,42/153-699 POQYEX ST,VOQLOANEUY NSW 2102,,,,,,NZL,,,1150,
I0000000025,Holder 25 - NZL,PO BOX 381,ZIIYZUR KOY NSW 2089,,,,,,NZL,,,4000,
I0000000026,Holder 26 - NZL,4/05 KOYVWUNUJ ROAD,PSECWOC VIC 3136,,,,,,NZL,,,3750,
I0000000027,Holder 27 - NZL,PO BOX 3218,RAKV VOMNOUPOU NSW 2444,,,,,,NZL,,,3425,
I0000000028,Holder 28 - NZL,C K I BOX 963 K,KUMAPM           TAS 7001,,,,,,NZL,,,5800,
I0000000029,Holder 29 - NZL,96 KUMAPJU PARADE,KUMKLIR KUJKL    NSW 2153,,,,,,NZL,,,10000,
I0000000030,Holder 30 - NZL,C/- RAEV QANUWAT & QE,R G A BOX 3847,RNYVOS           NSW 2001,,,,,NZL,,,290880,
I0000000031,Holder 31 - AUS,9 ZOBIH PUCYOXR VOQIH PSO VUYL,ZAQIZO KOQLO,GOBIDJAU,,,,3000,AUS,,,5,
I0000000032,Holder 32 - AUS,9 ZOBIH PUCYOXR VOQIH PSO VUYLOO,ZAQIZO KOQLO,GOBIDJAU,,,,3000,AUS,,,290880,
I0000000033,Holder 33 - AUS,V A BOX 90,GACYOJUDU         SA 5134,,,,,3000,AUS,,,500,
I0000000034,Holder 34 - AUS,C/- USBIZ PSOUZ USBLETULQ,971-L 3FQ VSOIZ OBOIH KUOVWICL,VSUV ST  PACVONAZU,PACVONAZU,,,3000,AUS,,,5691660,
I0000000035,Holder 35 - AUS,O-70 GOQIWIYE KUOVWICL,PABVDOV KUUC,PACVONAZU,PACVONAZU,,,3000,AUS,,,540,
I0000000036,Holder 36 - AUS,VUBVEXRDIR KUOVWICL#24-47,32 KATUZAVD ROAD,PACVONAZU,PACVONAZU,,,3000,AUS,,,4000,
I0000000037,Holder 37 - AUS,678 GOMV AVE,ILJ 67X,NEW RIMV  KL 67890,ELOCAF KWUCAF EZ ILOVARO,,,3000,AUS,,,1150,
I0000000038,Holder 38 - AUS,452 JOHNSTON STREET,ABBOTSFORD VIC,,,,,3000,AUS,,,10000,
I0000000039,Holder 39 Custodian TS1,452 JOHNSTON STREET,ABBOTSFORD VIC,,,,,3000,AUS,simone.oconnor@computershare.com.au,,10000,A01
I0000000040,Holder 40 Custodian TS1,452 JOHNSTON STREET,ABBOTSFORD VIC,,,,,3000,AUS,simone.oconnor@computershare.com.au,,10000,A01
I0000000041,Holder 41 Custodian TS2,455 JOHNSTON STREET,ABBOTSFORD VIC,,,,,3000,AUS,,,10000,A02
I0000000042,Holder 42 Custodian TS2,456 JOHNSTON STREET,ABBOTSFORD VIC,,,,,3000,AUS,,,10000,A02
I0000000043,Holder 43 Ineligible - CAN,457 JOHNSTON STREET,ABBOTSFORD VIC,,,,,,CAN,,,0,
I0000000044,Holder 44 Ineligible - HKG,458 JOHNSTON STREET,ABBOTSFORD VIC,,,,,,HKG,,,0,
